file_name,signal_type,chunk_index,value,avg_uncertainty,pair_id,author_A,author_B
Bamidbar_CH1,regular,0,0.10143953561782837,0.005506230518221855,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,weighted,0,0.10142949223518372,0.005506230518221855,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,regular,1,0.21233735978603363,0.005530251190066338,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,weighted,1,0.21236221492290497,0.005530251190066338,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,regular,2,0.17662590742111206,0.005963099654763937,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,weighted,2,0.17662234604358673,0.005963099654763937,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,regular,3,0.22763870656490326,0.006333567202091217,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,weighted,3,0.22764456272125244,0.006333567202091217,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,regular,4,0.280045747756958,0.00556380907073617,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH1,weighted,4,0.2801831364631653,0.00556380907073617,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH10,regular,0,0.7849421501159668,0.004941784311085939,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH10,weighted,0,0.7849667072296143,0.004941784311085939,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH10,regular,1,0.15646615624427795,0.005540342070162296,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH10,weighted,1,0.1566111147403717,0.005540342070162296,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH10,regular,2,0.06473234295845032,0.00558873824775219,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH10,weighted,2,0.06473243236541748,0.00558873824775219,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH11,regular,0,0.9570627212524414,0.0053284065797924995,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH11,weighted,0,0.9570664763450623,0.0053284065797924995,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH11,regular,1,0.1340627372264862,0.005778241902589798,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
Bamidbar_CH11,weighted,1,0.13406290113925934,0.005778241902589798,28_יהודה סומו_VS_אהרון ליבושיצקי,יהודה סומו,אהרון ליבושיצקי
