file_name,signal_type,chunk_index,value,avg_uncertainty,pair_id,author_A,author_B
Bamidbar_CH1,regular,0,0.6329939961433411,0.005493619479238987,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,weighted,0,0.6330119371414185,0.005493619479238987,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,regular,1,0.6397253274917603,0.005418245680630207,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,weighted,1,0.639739990234375,0.005418245680630207,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,regular,2,0.6929184198379517,0.006111540831625462,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,weighted,2,0.6929371356964111,0.006111540831625462,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,regular,3,0.7320571541786194,0.006257092580199242,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,weighted,3,0.7320834398269653,0.006257092580199242,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,regular,4,0.6498714685440063,0.0057774195447564125,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH1,weighted,4,0.64994877576828,0.0057774195447564125,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH10,regular,0,0.26159507036209106,0.004796536639332771,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH10,weighted,0,0.2615545392036438,0.004796536639332771,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH10,regular,1,0.42247676849365234,0.005516720935702324,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH10,weighted,1,0.4222981631755829,0.005516720935702324,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH10,regular,2,0.3576677441596985,0.005468623246997595,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH10,weighted,2,0.3577252924442291,0.005468623246997595,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,regular,0,0.0697423443198204,0.005448643583804369,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,weighted,0,0.06973519176244736,0.005448643583804369,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,regular,1,0.011968186125159264,0.005815865471959114,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,weighted,1,0.01196849811822176,0.005815865471959114,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,regular,2,0.03974711894989014,0.005700694862753153,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,weighted,2,0.03974970057606697,0.005700694862753153,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,regular,3,0.020707126706838608,0.005772260949015617,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,weighted,3,0.02070753462612629,0.005772260949015617,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,regular,4,0.15844112634658813,0.005735109560191631,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH11,weighted,4,0.1584760695695877,0.005735109560191631,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH12,regular,0,0.01774611510336399,0.006513587664812803,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH12,weighted,0,0.017745181918144226,0.006513587664812803,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH13,regular,0,0.4427937865257263,0.006722664460539818,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH13,weighted,0,0.44264963269233704,0.006722664460539818,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH13,regular,1,0.22127342224121094,0.00563492625951767,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH13,weighted,1,0.2213328778743744,0.00563492625951767,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH13,regular,2,0.11101211607456207,0.005129028111696243,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH13,weighted,2,0.11099756509065628,0.005129028111696243,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,regular,0,0.12225858867168427,0.005233770702034235,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,weighted,0,0.12225877493619919,0.005233770702034235,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,regular,1,0.003334695938974619,0.0054185884073376656,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,weighted,1,0.0033346752170473337,0.0054185884073376656,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,regular,2,0.0026838192716240883,0.005305618047714233,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,weighted,2,0.0026835224125534296,0.005305618047714233,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,regular,3,0.003777971025556326,0.005484134890139103,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,weighted,3,0.0037779605481773615,0.005484134890139103,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,regular,4,0.05729050934314728,0.005442231893539429,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,weighted,4,0.057303763926029205,0.005442231893539429,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,regular,5,0.06350699067115784,0.004861443303525448,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH14,weighted,5,0.06349726021289825,0.004861443303525448,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,regular,0,0.7096514701843262,0.005040972493588924,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,weighted,0,0.7096171975135803,0.005040972493588924,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,regular,1,0.16305682063102722,0.0058251312002539635,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,weighted,1,0.1630249172449112,0.0058251312002539635,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,regular,2,0.23868605494499207,0.005119395442306995,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,weighted,2,0.23868054151535034,0.005119395442306995,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,regular,3,0.18531827628612518,0.0056582288816571236,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,weighted,3,0.1854023039340973,0.0056582288816571236,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,regular,4,0.05930859595537186,0.005268014036118984,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH15,weighted,4,0.05929212272167206,0.005268014036118984,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,regular,0,0.2689548134803772,0.005488172173500061,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,weighted,0,0.26912587881088257,0.005488172173500061,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,regular,1,0.09884791076183319,0.005142372101545334,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,weighted,1,0.09880251437425613,0.005142372101545334,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,regular,2,0.1495470255613327,0.004815389402210712,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,weighted,2,0.1495600938796997,0.004815389402210712,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,regular,3,0.010213236324489117,0.0055811586789786816,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH16,weighted,3,0.010211997665464878,0.0055811586789786816,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
Bamidbar_CH17,regular,0,0.11308380961418152,0.0051035284996032715,58_משה חיים לוצאטו_VS_דב סדן,משה חיים לוצאטו,דב סדן
