file_name,signal_type,chunk_index,value,avg_uncertainty,pair_id,author_A,author_B
Bamidbar_CH1,regular,0,0.9674011468887329,0.005431232042610645,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,weighted,0,0.967402994632721,0.005431232042610645,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,regular,1,0.9423933029174805,0.0052757058292627335,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,weighted,1,0.9424105882644653,0.0052757058292627335,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,regular,2,0.8337258100509644,0.006323765963315964,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,weighted,2,0.8337249755859375,0.006323765963315964,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,regular,3,0.7225061655044556,0.00672905333340168,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,weighted,3,0.7225201725959778,0.00672905333340168,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,regular,4,0.911282479763031,0.005628389306366444,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH1,weighted,4,0.9113191366195679,0.005628389306366444,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH10,regular,0,0.9892358779907227,0.0049461787566542625,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH10,weighted,0,0.989238440990448,0.0049461787566542625,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH10,regular,1,0.9677996635437012,0.005572060588747263,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH10,weighted,1,0.9678046703338623,0.005572060588747263,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH10,regular,2,0.9889147281646729,0.005535421893000603,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH10,weighted,2,0.9889132380485535,0.005535421893000603,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,regular,0,0.8783236742019653,0.0052951788529753685,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,weighted,0,0.8783254027366638,0.0052951788529753685,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,regular,1,0.9888243079185486,0.005718597210943699,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,weighted,1,0.9888250827789307,0.005718597210943699,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,regular,2,0.9831143617630005,0.005493410862982273,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,weighted,2,0.9831125140190125,0.005493410862982273,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,regular,3,0.9800483584403992,0.00579726230353117,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,weighted,3,0.9800431728363037,0.00579726230353117,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,regular,4,0.9915981292724609,0.005756699480116367,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH11,weighted,4,0.9915998578071594,0.005756699480116367,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH12,regular,0,0.9939185380935669,0.006289759650826454,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH12,weighted,0,0.9939178228378296,0.006289759650826454,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH13,regular,0,0.8701298236846924,0.006767187267541885,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH13,weighted,0,0.8702239394187927,0.006767187267541885,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH13,regular,1,0.669570803642273,0.005716871004551649,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH13,weighted,1,0.6696088910102844,0.005716871004551649,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH13,regular,2,0.5997770428657532,0.005292228423058987,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH13,weighted,2,0.5998658537864685,0.005292228423058987,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,regular,0,0.9962037801742554,0.005241330247372389,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,weighted,0,0.9962037801742554,0.005241330247372389,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,regular,1,0.9912687540054321,0.005415181629359722,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,weighted,1,0.9912689328193665,0.005415181629359722,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,regular,2,0.9963228702545166,0.005542450584471226,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,weighted,2,0.9963228106498718,0.005542450584471226,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,regular,3,0.97735595703125,0.0053789252415299416,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,weighted,3,0.9773560762405396,0.0053789252415299416,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
Bamidbar_CH14,regular,4,0.9547500610351562,0.005023549310863018,2_אברהם פריצול_VS_אפריים בר יעקב,אברהם פריצול,אפריים בר יעקב
