Names,iteration_57_row_sum,iteration_57_normalized_summary_score
Bamidbar_CH1,24.091132521629333,0.005644736078703617
Bamidbar_CH10,29.230319440364838,0.006848886767316658
Bamidbar_CH11,24.73354744911194,0.00579525879553327
Bamidbar_CH13,19.89795732498169,0.004662243151250273
Bamidbar_CH14,22.305180549621582,0.005226273911257858
Bamidbar_CH15,20.921433985233307,0.004902051538201217
Bamidbar_CH16,17.652759850025177,0.0041361762600685146
Bamidbar_CH17,16.837043166160583,0.003945047620048085
Bamidbar_CH18,19.359857380390167,0.004536162230460968
Bamidbar_CH19,15.973124563694,0.0037426249028915523
Bamidbar_CH2,41.66957634687424,0.009763499527401541
Bamidbar_CH20,17.24367654323578,0.004040324921450195
Bamidbar_CH21,22.884407997131348,0.005361991319636161
Bamidbar_CH22,20.72918266057968,0.004857005586647194
Bamidbar_CH23,19.93646079301834,0.004671264807454545
Bamidbar_CH24,30.70958310365677,0.00719548952509911
Bamidbar_CH25,15.85232400894165,0.003714320411638358
Bamidbar_CH26,59.6243332028389,0.013970435989115062
Bamidbar_CH27,15.179410815238953,0.0035566517184410155
Bamidbar_CH28,23.551771759986877,0.00551835973886377
Bamidbar_CH29,39.123980939388275,0.00916704710966994
Bamidbar_CH3,28.674940288066864,0.006718757196383387
Bamidbar_CH30,14.544684767723083,0.003407930564826131
Bamidbar_CH31,24.74455213546753,0.005797837277472649
Bamidbar_CH32,19.92133355140686,0.004667720379378407
Bamidbar_CH33,38.48894840478897,0.00901825414379401
Bamidbar_CH34,27.22129863500595,0.0063781578710020515
Bamidbar_CH35,25.257275342941284,0.005917972235221825
Bamidbar_CH36,23.554393410682678,0.005518974011615583
Bamidbar_CH4,24.11692452430725,0.005650779341631475
Bamidbar_CH5,18.08467662334442,0.004237377654032184
Bamidbar_CH6,18.48257863521576,0.0043306091299780474
Bamidbar_CH7,67.36487996578217,0.015784105128266154
Bamidbar_CH8,16.20499038696289,0.0037969528335875936
Bamidbar_CH9,18.163061678409576,0.004255743870230622
