Names,iteration_89_anomaly_score,iteration_89_anomaly_prediction
Bamidbar_CH1,0.022444682766749158,1
Bamidbar_CH10,0.060166076513771816,1
Bamidbar_CH11,0.09914186649570222,1
Bamidbar_CH13,0.09181587818888132,1
Bamidbar_CH14,0.0775007788523363,1
Bamidbar_CH15,0.02973151578283173,1
Bamidbar_CH16,0.12429109125836513,1
Bamidbar_CH17,0.0920080388399272,1
Bamidbar_CH18,0.053476398496882016,1
Bamidbar_CH19,0.05395586695796989,1
Bamidbar_CH2,-0.0536394996149292,-1
Bamidbar_CH20,0.13793071784572686,1
Bamidbar_CH21,0.07366781182643861,1
Bamidbar_CH22,0.07133178812332763,1
Bamidbar_CH23,0.0747582145247126,1
Bamidbar_CH24,0.0380759192185382,1
Bamidbar_CH25,0.09317275936965413,1
Bamidbar_CH26,-0.06615278662330759,-1
Bamidbar_CH27,0.1244350095811122,1
Bamidbar_CH28,0.024132453426907063,1
Bamidbar_CH29,-0.057106739922748506,-1
Bamidbar_CH3,0.0022015003738318772,1
Bamidbar_CH30,0.019049734261503137,1
Bamidbar_CH31,0.026658268169612753,1
Bamidbar_CH32,0.059989316435116014,1
Bamidbar_CH33,0.04345169234179319,1
Bamidbar_CH34,0.04395163818659387,1
Bamidbar_CH35,0.07069946151188172,1
Bamidbar_CH36,0.07759125411030099,1
Bamidbar_CH4,-0.003194795873751821,-1
Bamidbar_CH5,0.062249042709915936,1
Bamidbar_CH6,0.01821865575139292,1
Bamidbar_CH7,-0.31460851881164287,-1
Bamidbar_CH8,0.07536406874818963,1
Bamidbar_CH9,0.11226696511023732,1
Beereshit_CH1,0.14038664607480156,1
Beereshit_CH10,-0.1321501803409768,-1
Beereshit_CH11,0.03248335549419762,1
Beereshit_CH12,0.13874944245465637,1
Beereshit_CH13,0.11310051464786974,1
Beereshit_CH14,0.028884838264468193,1
Beereshit_CH15,0.10185235574505125,1
Beereshit_CH16,0.14307559350335758,1
Beereshit_CH17,0.14160934645507545,1
Beereshit_CH18,0.14168842380694624,1
Beereshit_CH19,0.10224362821410027,1
Beereshit_CH2,0.1488601392905372,1
Beereshit_CH20,0.13712327069139657,1
Beereshit_CH21,0.12829570142507574,1
Beereshit_CH22,0.14420443718032128,1
Beereshit_CH23,0.14380604649752238,1
Beereshit_CH24,-0.0629816738442035,-1
Beereshit_CH25,0.06326673216762879,1
Beereshit_CH26,0.14270257142909215,1
Beereshit_CH27,0.082208580301948,1
Beereshit_CH28,0.14695799230820727,1
Beereshit_CH29,0.13861774721624642,1
Beereshit_CH3,0.1355442784754045,1
Beereshit_CH30,0.06597865694110355,1
Beereshit_CH31,0.0541242960119771,1
Beereshit_CH32,0.09263116361855778,1
Beereshit_CH33,0.14242734033790633,1
Beereshit_CH34,0.08171353805329667,1
Beereshit_CH35,0.1460763402881196,1
Beereshit_CH36,0.026922021086936032,1
Beereshit_CH37,0.14146255508391897,1
Beereshit_CH38,0.07266913758886884,1
Beereshit_CH39,0.14725603867627762,1
Beereshit_CH4,0.013968457771208476,1
Beereshit_CH40,0.1267172305162188,1
Beereshit_CH41,0.030681496613300607,1
Beereshit_CH42,0.11118040901925486,1
Beereshit_CH43,0.09919839809158532,1
Beereshit_CH44,0.1344079017685696,1
Beereshit_CH45,0.13456834799759504,1
Beereshit_CH46,0.047042941884491596,1
Beereshit_CH47,0.11670491689760987,1
Beereshit_CH48,0.14789415566303843,1
Beereshit_CH49,0.016095917828726825,1
Beereshit_CH5,-0.0075096888416386065,-1
Beereshit_CH50,0.14899845671493922,1
Beereshit_CH6,0.08443875497643494,1
Beereshit_CH7,0.14307732909477516,1
Beereshit_CH8,0.14396636470444724,1
Beereshit_CH9,0.1474412099161586,1
Dvarim_CH1,0.07419503227934882,1
Dvarim_CH10,0.09380546360134046,1
Dvarim_CH11,0.11178728442714786,1
Dvarim_CH12,0.06577314235737725,1
Dvarim_CH13,0.11412609964386417,1
Dvarim_CH14,0.08453871263885904,1
Dvarim_CH15,0.09286826522442743,1
Dvarim_CH16,0.0904982924663904,1
Dvarim_CH17,0.12360566614928548,1
Dvarim_CH18,0.07478782941198386,1
Dvarim_CH19,0.10832569967733047,1
Dvarim_CH2,0.0736215665885121,1
Dvarim_CH20,0.09659829173409945,1
Dvarim_CH21,0.126581791071042,1
Dvarim_CH22,0.07846545978219366,1
Dvarim_CH23,0.06153173907966758,1
Dvarim_CH24,0.08811789930824171,1
Dvarim_CH25,0.06209347516386482,1
Dvarim_CH26,0.14531047000840636,1
Dvarim_CH27,0.08508113606314976,1
Dvarim_CH28,-0.05410604499603777,-1
Dvarim_CH29,0.11298153939819794,1
Dvarim_CH3,0.11279088716867641,1
Dvarim_CH30,0.13652747824240946,1
Dvarim_CH31,0.11391732991346631,1
Dvarim_CH32,-0.17525719902723136,-1
Dvarim_CH33,-0.07086783384271578,-1
Dvarim_CH4,-0.03231573203984195,-1
Dvarim_CH5,0.09059675731467315,1
Dvarim_CH6,0.13342014859133888,1
Dvarim_CH7,0.07900686588322209,1
Dvarim_CH8,0.023457386490422283,1
Dvarim_CH9,0.12248918467249514,1
Shmot_CH1,0.13306627615966332,1
Shmot_CH10,0.1402649969928289,1
Shmot_CH12,0.04054169247543715,1
Shmot_CH13,0.11437241190664121,1
Shmot_CH14,0.14126173347150095,1
Shmot_CH15,-0.01215575418804804,-1
Shmot_CH16,0.06982603426886264,1
Shmot_CH17,0.10020443755059022,1
Shmot_CH18,0.14022754596770742,1
Shmot_CH19,0.14684409675265986,1
Shmot_CH2,0.12011091344673297,1
Shmot_CH20,0.09502068042440581,1
Shmot_CH21,0.003109697379810372,1
Shmot_CH22,0.020914322532974816,1
Shmot_CH23,0.02884219952704492,1
Shmot_CH24,0.09599647400054806,1
Shmot_CH25,0.024848302440904857,1
Shmot_CH26,0.023753093412526127,1
Shmot_CH27,-0.035198536718918816,-1
Shmot_CH28,-0.051983561256995436,-1
Shmot_CH29,-0.009317353671010498,-1
Shmot_CH3,0.14758431062756788,1
Shmot_CH30,0.026421613416647616,1
Shmot_CH31,0.11869733336900368,1
Shmot_CH32,0.04665791693913829,1
Shmot_CH33,0.14864256708139928,1
Shmot_CH34,0.06579256227056668,1
Shmot_CH35,0.0183650951323715,1
Shmot_CH36,-0.018910550588539188,-1
Shmot_CH37,0.017652800069429375,1
Shmot_CH38,0.025533624056809423,1
Shmot_CH39,-0.0031569291646370568,-1
Shmot_CH4,0.1234052441732198,1
Shmot_CH40,0.08770070673928088,1
Shmot_CH5,0.10259537674216934,1
Shmot_CH6,0.05435753071557653,1
