Names,1,2,3,4,5,6,7,8,9,10
Bamidbar_CH1,0.015492526151623541,0.0050958297066797924,0.002948587042915547,0.004776236744614843,0.0035943146199972145,0.005624935412455123,0.004684420259843659,0.003399162912102731,0.0033588260311577358,0.005040454998791883
Bamidbar_CH10,0.00886683811352518,0.003291592987099634,0.0028916038669805928,0.003872816941447196,0.006915884992981851,0.0048089769083476475,0.003874720699280445,0.003172022115352518,0.003006687622460665,0.00465315402564624
Bamidbar_CH11,0.003715566757030466,0.003556869422416227,0.003277136961932945,0.004316738087319698,0.004975730475205834,0.006194852356788584,0.005137758339853761,0.0035111503560391914,0.003025900116140437,0.005489195305354938
Bamidbar_CH13,0.006438594630856758,0.011360869136233569,0.002901929866476346,0.0038598700635067615,0.004979197245017188,0.004645235004840497,0.004178229316542773,0.003204587326928197,0.0041838944942880485,0.004228349252304882
Bamidbar_CH14,0.003861534802245539,0.004687997670625539,0.0031505455612934677,0.004435392551718122,0.004860779644635363,0.005872627866228645,0.004821217460033345,0.00333338406313606,0.0030591546224290277,0.00592077226423391
Bamidbar_CH15,0.005241058306500962,0.005689940910883789,0.0029184261085084427,0.004549214512430516,0.0035939765521716227,0.00558427715308886,0.004692723739890745,0.003271303956745314,0.011282495357617828,0.004707523116423864
Bamidbar_CH16,0.0035240405511515827,0.003385712924890577,0.002883816401058011,0.004072015516870469,0.00454838547802017,0.004697309119255657,0.004403756039369325,0.0032013995509518373,0.003008184600714529,0.004754716801411459
Bamidbar_CH17,0.0034602565254349443,0.0032827942725757436,0.003041808419536552,0.0038834421089754046,0.0033444591450728953,0.004394414287457485,0.0040961099629712614,0.0031674756203765773,0.0030023769637551132,0.004709659414497974
Bamidbar_CH18,0.0037123254061934446,0.003554914389137803,0.003434452789448599,0.005761998590807258,0.005298771688838236,0.006584493738161245,0.005150439629617065,0.0032687662515496303,0.0030203010697926616,0.006335318341509917
Bamidbar_CH19,0.00742260667597812,0.008947155230516219,0.0028655564275977177,0.0052613801405649654,0.0033443984547242905,0.004070211193190189,0.005069484441342444,0.01279306578830081,0.003080714953106645,0.004213753097075206
Bamidbar_CH2,0.016518955398531033,0.00466550225948926,0.0029494238292321197,0.0037577316251722484,0.015481840383006805,0.005868894812995219,0.0040021400831499795,0.003187974773432056,0.0030549676058562515,0.0048227285382208005
Bamidbar_CH20,0.003523782861436303,0.0033857293490799,0.0032776863670902906,0.004455915588027344,0.004698710230599301,0.004315442623162457,0.004329489292902311,0.0032050781120682146,0.0030081555704246734,0.004815374448295592
Bamidbar_CH21,0.004772634168780953,0.0046352561245210895,0.0029125009851961457,0.005963687626365497,0.01606751181453896,0.004556655272603014,0.004175218183150191,0.006307203187782048,0.0030117693795565195,0.0042217034516603535
Bamidbar_CH22,0.0048569896965835,0.0037408208490385796,0.003726305261417652,0.007272451213130215,0.004982359566518908,0.007444952344025706,0.004862977108276385,0.0033400495022082996,0.00303066525599467,0.005580827832173018
Bamidbar_CH23,0.003493241195508832,0.003282701571971468,0.0037947160646253962,0.00421590107058291,0.004609259729061258,0.004331613860250372,0.003902784511416649,0.0031682562248138333,0.003002733428638647,0.004573371289860348
Bamidbar_CH24,0.004604231611857143,0.0032856096686248656,0.00704093701224268,0.004325446998667864,0.006356028134704426,0.004778151139724682,0.004137105827263486,0.003173614006602414,0.0030026092734926446,0.0047236904782947875
Bamidbar_CH25,0.0034085438236988877,0.0032573027420650376,0.002951074862166502,0.003725787031002524,0.0033059189433971405,0.004108527387265764,0.003971096731536025,0.0031432621716629195,0.003000929383893342,0.004511110594660421
Bamidbar_CH26,0.01569842333369714,0.011516489126536904,0.0030076861330718685,0.005603565097820337,0.02487981868375864,0.005966693491287514,0.006501627361260432,0.003440995500478938,0.015328926057477885,0.005812911643834336
Bamidbar_CH27,0.004484004082221767,0.0032828590496742915,0.002935961994145978,0.004683344895194842,0.003344432929594594,0.00436992124011293,0.00374388888387205,0.0031663526426021645,0.0030027968616088015,0.003684147053965202
Bamidbar_CH28,0.01631492841440237,0.01655394222753164,0.002889871127638195,0.004136126608167542,0.003344600274790993,0.004618195286920075,0.004237581209359847,0.003225181158362794,0.023615659485313814,0.004041092856734926
Bamidbar_CH29,0.017374367503601693,0.02128508322593424,0.0029573211761861704,0.0040444191195220395,0.0034411625588652954,0.00615155717253685,0.004409328722530922,0.015224917963434578,0.029060251935953872,0.0048749125606162855
Bamidbar_CH3,0.011995647512122207,0.0035546723409878456,0.002970574519058755,0.004237565068349143,0.0052648269482971416,0.004985224275879774,0.004607225119552872,0.006882596361085151,0.003445289322982703,0.0053970618979628385
Bamidbar_CH30,0.0035133462002867205,0.0032572408852152126,0.002870416550143468,0.010264584723588079,0.003306186354835268,0.005551939791216627,0.00843015731711592,0.003134406625523595,0.002998683311052098,0.006903104256374309
Bamidbar_CH31,0.007816516395876456,0.005414151649848669,0.0029851633390830415,0.004452852384707795,0.005032640163971242,0.006048869146169655,0.00591786355618449,0.006990145430271423,0.003044845024074939,0.009067910026087408
Bamidbar_CH32,0.0050480420983961645,0.0035541514092241135,0.003202017780880893,0.004248055550891157,0.012468854132751372,0.005514756624911424,0.004461358770176116,0.0032741868484810056,0.0030179425261783062,0.005113222691019413
Bamidbar_CH33,0.019971086244621437,0.009131748448425054,0.0029450736673708802,0.004045040407696815,0.018382735345888176,0.0062986028776912005,0.004409869882997418,0.032851708200437826,0.017154553063259206,0.004195788132067902
