Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Bamidbar_CH1,0.015492526151623541,0.0050958297066797924,0.002948587042915547,0.004776236744614843,0.0035943146199972145,0.005624935412455123,0.004684420259843659,0.003399162912102731,0.0033588260311577358,0.005040454998791883,0.004635557629173901,0.0027697901953901358,0.0030263194232517895,0.006587874657101907,0.00491519867616386,0.0032454835058554274,0.007989386617522682,0.005522709033189568,0.002857387615726098,0.002790867189471087,0.002827445149409044,0.0033212687992558196,0.04235728837584177,0.0027929650321177166,0.002792062486985707,0.002753272998078943,0.0027543264162391626,0.003485267928663985,0.005790798074832312,0.0027576185621738985,0.021878017307902828,0.0123560655566446,0.00361850514417558,0.0041334425957790435,0.00760771469987771,0.004844604747028473,0.003272819859189233,0.002885486979133891,0.00460372367483976,0.002757551499766355,0.014094797118960365,0.0029598335888228653,0.003985448445668789,0.005912468292625469
Bamidbar_CH10,0.00886683811352518,0.003291592987099634,0.0028916038669805928,0.003872816941447196,0.006915884992981851,0.0048089769083476475,0.003874720699280445,0.003172022115352518,0.003006687622460665,0.00465315402564624,0.004387656575250854,0.0027640002500498775,0.002932026234436048,0.005216096493643134,0.004584658629895599,0.003230416348148712,0.0163699175337492,0.007648279010155239,0.0028575769730500486,0.0027974337633700085,0.002834876858545419,0.028128238074138116,0.0028122624963616617,0.002793536552680019,0.002794106478428266,0.0027825337542785227,0.002753961884082994,0.0046131105883745515,0.004063154872147333,0.00275701747385501,0.0029305195826195484,0.004340914814435108,0.0037896481944819723,0.0031542819514331633,0.006555804969416465,0.004238549082610005,0.0032458744983960798,0.0028852141400283887,0.003188254084605795,0.0027572773039423503,0.0033800171539354992,0.0029597967793243605,0.0030405393745637724,0.005136080395650631
Bamidbar_CH11,0.003715566757030466,0.003556869422416227,0.003277136961932945,0.004316738087319698,0.004975730475205834,0.006194852356788584,0.005137758339853761,0.0035111503560391914,0.003025900116140437,0.005489195305354938,0.006825852186566031,0.002798829762656272,0.0030267409971083434,0.005166791022639891,0.006051372604044761,0.0065731125323488255,0.007041965990141312,0.004832599899449947,0.0028576507279259593,0.0027948035002506436,0.002824544783252721,0.01541144134598074,0.002812237077010524,0.0027967324813904333,0.002841962957056106,0.0027534127834792374,0.002753766750499762,0.0034852303607782902,0.005937759531381328,0.0027575875715838806,0.0030172238554343274,0.005363439293876034,0.0036393300552242267,0.006782813364813635,0.005248123048478475,0.006190646831523866,0.006942025390867537,0.0028856870675992674,0.08671628215987359,0.00275722180758383,0.003825926913236877,0.002960126524971328,0.0030797014075648905,0.004770655966082219
Bamidbar_CH13,0.006438594630856758,0.011360869136233569,0.002901929866476346,0.0038598700635067615,0.004979197245017188,0.004645235004840497,0.004178229316542773,0.003204587326928197,0.0041838944942880485,0.004228349252304882,0.004681601041506632,0.0027635157591480884,0.0029440550097918914,0.003990608138448676,0.004278871685811686,0.004148691599616299,0.006392957027969557,0.003894007612950869,0.0028572798126334743,0.0027883184876349412,0.0028218972821535304,0.007334651502171367,0.0028122240167269144,0.0027939430797688045,0.0027917711228704826,0.0027546873221513473,0.002753418639013985,0.003337657352353622,0.0038160154592840555,0.002756119715200429,0.011653201715808841,0.0062384253014382985,0.003436914834483479,0.003384370026179809,0.011704446425910606,0.004074716280071382,0.0032458708906235355,0.002885412814919975,0.003943947526804747,0.002757339859048226,0.003479322456380728,0.002959763461962043,0.0029839069203335873,0.004995544983388625
Bamidbar_CH14,0.003861534802245539,0.004687997670625539,0.0031505455612934677,0.004435392551718122,0.004860779644635363,0.005872627866228645,0.004821217460033345,0.00333338406313606,0.0030591546224290277,0.00592077226423391,0.007029583411122059,0.002781658692133666,0.003119198293836471,0.0057488508774554085,0.005774798620970265,0.0032346562129860396,0.0036670260368667404,0.005447893607593806,0.0028576532129010387,0.0027994844639936635,0.0028217938361289863,0.0034964835195013646,0.002812227980030876,0.0027961848379510616,0.002792708426751996,0.0027548606716309675,0.002754005624157254,0.003568131318807052,0.005864266750068747,0.0027975199152778735,0.003065696474795839,0.005641694124176671,0.004447120391108363,0.0034246477663987724,0.004217793943034905,0.006329739184300092,0.0032864914370871346,0.0031696861445336512,0.0035274887320162736,0.0027588073482829574,0.003973965842883664,0.0029598347803653966,0.003232810680657637,0.0072435415790371655
Bamidbar_CH15,0.005241058306500962,0.005689940910883789,0.0029184261085084427,0.004549214512430516,0.0035939765521716227,0.00558427715308886,0.004692723739890745,0.003271303956745314,0.011282495357617828,0.004707523116423864,0.005205381317988985,0.002811125137113716,0.003026151396156756,0.0052513636041556415,0.00464983510511576,0.005186543467761004,0.0034448104657193272,0.005193346635530453,0.0028577774734957076,0.0027961402146780604,0.002820474042063256,0.003321285287497809,0.002812224585334802,0.002793548475697306,0.002792235708779404,0.0027562451089772296,0.002759044337878777,0.003491138036030055,0.004754801562193901,0.002761928836735554,0.0030172723443184085,0.007491689543243745,0.005468789253611169,0.004719884049938735,0.004765963987122455,0.004979939060421707,0.0032728088835530965,0.0029162764364992697,0.004122298533844402,0.002772097144015534,0.012158031842920872,0.0029598254130079583,0.003262912538587969,0.006929382986642399
Bamidbar_CH16,0.0035240405511515827,0.003385712924890577,0.002883816401058011,0.004072015516870469,0.00454838547802017,0.004697309119255657,0.004403756039369325,0.0032013995509518373,0.003008184600714529,0.004754716801411459,0.007816346130283125,0.0027628427650972197,0.0029791334800912343,0.00542120239355165,0.004419309334088379,0.0032309933391694574,0.005109181859025338,0.004691886744607823,0.0028573582887657543,0.002792111764186512,0.002816864561191764,0.00747920683360578,0.002812263216595104,0.007774321032368143,0.002814523679936961,0.0027533123873587583,0.0027538245573831754,0.0034054203041806556,0.004165099111364437,0.0027580278962170517,0.0029687840991832713,0.005516375238623013,0.0035293221713730695,0.0032483497175135176,0.004086130203049672,0.004483152407037129,0.003259313512051518,0.0028919931751888324,0.003711968639641484,0.002757947763238596,0.003605874428060723,0.0029597835715336864,0.003100339261499814,0.004534152140228059
Bamidbar_CH17,0.0034602565254349443,0.0032827942725757436,0.003041808419536552,0.0038834421089754046,0.0033444591450728953,0.004394414287457485,0.0040961099629712614,0.0031674756203765773,0.0030023769637551132,0.004709659414497974,0.004596121609896745,0.002956608518806803,0.0029319873430972737,0.004085575468899835,0.004590353204872513,0.003230414162446169,0.003217707211797796,0.003956041884923575,0.002857228559611494,0.0027923287665082884,0.0028163376874634867,0.005041545472669011,0.002812222405768684,0.002791647814379544,0.002791780508179359,0.0027532457733239783,0.002753532176407589,0.003443547316353672,0.004073489108672813,0.0027562914547201115,0.00292031018063204,0.003347070714679689,0.0034214472111099518,0.0033433996054222552,0.004593797442714548,0.0046547100822014326,0.003245883324165344,0.002886184877941656,0.0031165459477547996,0.002758020541357884,0.003381945224798839,0.002959805725059057,0.003096240183682047,0.0037119027187104397
Bamidbar_CH18,0.0037123254061934446,0.003554914389137803,0.003434452789448599,0.005761998590807258,0.005298771688838236,0.006584493738161245,0.005150439629617065,0.0032687662515496303,0.0030203010697926616,0.006335318341509917,0.006410807385173125,0.0027669428436206097,0.003031194094445572,0.004840654040006298,0.005376203770387964,0.004680141371934333,0.0034738511543308858,0.006195633042249476,0.0028574527280499588,0.002791010002377935,0.002818820334318923,0.0033212781280232153,0.002812225380344705,0.0027928420432018273,0.0027928635985804287,0.002753252607141284,0.0027560453152283095,0.006283760679669779,0.008084026320934856,0.002758791685133534,0.003017333108060553,0.004517077134939892,0.003613893609230349,0.0037965515788178504,0.005592183680701085,0.006203390377940077,0.0032728526033154385,0.0028854854106479047,0.003344234604508174,0.002757811456393108,0.0041174622561821715,0.002959799364055082,0.003219620364005651,0.0057953939453442875
Bamidbar_CH19,0.00742260667597812,0.008947155230516219,0.0028655564275977177,0.0052613801405649654,0.0033443984547242905,0.004070211193190189,0.005069484441342444,0.01279306578830081,0.003080714953106645,0.004213753097075206,0.006244990352621954,0.002761868382057278,0.017702559715985517,0.003949962206196037,0.005176221871120589,0.007737880621622038,0.003160733548208872,0.0041404975895711835,0.0028574664235645956,0.002791730309822664,0.002816131728037323,0.0029878054965880828,0.0028122219376541737,0.0027924953296163436,0.0027917840236885926,0.002753266422006301,0.002753269858038243,0.0036894225227403787,0.0038334513671190213,0.002767793160259148,0.010531390403877947,0.005701782755805857,0.005243938236888037,0.007673057264416804,0.003862547430016202,0.004160683899582931,0.0032459169517388676,0.0028853669996379582,0.0033537344004157844,0.002766991235626588,0.009730604987523598,0.0029597535171647627,0.003266444702723094,0.005136032165875078
