Names,1,2,3,4
Bamidbar_CH1,0.015492526151623541,0.0050958297066797924,0.002948587042915547,0.004776236744614843
Bamidbar_CH10,0.00886683811352518,0.003291592987099634,0.0028916038669805928,0.003872816941447196
Bamidbar_CH11,0.003715566757030466,0.003556869422416227,0.003277136961932945,0.004316738087319698
Bamidbar_CH13,0.006438594630856758,0.011360869136233569,0.002901929866476346,0.0038598700635067615
Bamidbar_CH14,0.003861534802245539,0.004687997670625539,0.0031505455612934677,0.004435392551718122
Bamidbar_CH15,0.005241058306500962,0.005689940910883789,0.0029184261085084427,0.004549214512430516
Bamidbar_CH16,0.0035240405511515827,0.003385712924890577,0.002883816401058011,0.004072015516870469
Bamidbar_CH17,0.0034602565254349443,0.0032827942725757436,0.003041808419536552,0.0038834421089754046
Bamidbar_CH18,0.0037123254061934446,0.003554914389137803,0.003434452789448599,0.005761998590807258
Bamidbar_CH19,0.00742260667597812,0.008947155230516219,0.0028655564275977177,0.0052613801405649654
Bamidbar_CH2,0.016518955398531033,0.00466550225948926,0.0029494238292321197,0.0037577316251722484
Bamidbar_CH20,0.003523782861436303,0.0033857293490799,0.0032776863670902906,0.004455915588027344
Bamidbar_CH21,0.004772634168780953,0.0046352561245210895,0.0029125009851961457,0.005963687626365497
Bamidbar_CH22,0.0048569896965835,0.0037408208490385796,0.003726305261417652,0.007272451213130215
Bamidbar_CH23,0.003493241195508832,0.003282701571971468,0.0037947160646253962,0.00421590107058291
Bamidbar_CH24,0.004604231611857143,0.0032856096686248656,0.00704093701224268,0.004325446998667864
Bamidbar_CH25,0.0034085438236988877,0.0032573027420650376,0.002951074862166502,0.003725787031002524
Bamidbar_CH26,0.01569842333369714,0.011516489126536904,0.0030076861330718685,0.005603565097820337
Bamidbar_CH27,0.004484004082221767,0.0032828590496742915,0.002935961994145978,0.004683344895194842
Bamidbar_CH28,0.01631492841440237,0.01655394222753164,0.002889871127638195,0.004136126608167542
Bamidbar_CH29,0.017374367503601693,0.02128508322593424,0.0029573211761861704,0.0040444191195220395
Bamidbar_CH3,0.011995647512122207,0.0035546723409878456,0.002970574519058755,0.004237565068349143
Bamidbar_CH30,0.0035133462002867205,0.0032572408852152126,0.002870416550143468,0.010264584723588079
Bamidbar_CH31,0.007816516395876456,0.005414151649848669,0.0029851633390830415,0.004452852384707795
Bamidbar_CH32,0.0050480420983961645,0.0035541514092241135,0.003202017780880893,0.004248055550891157
Bamidbar_CH33,0.019971086244621437,0.009131748448425054,0.0029450736673708802,0.004045040407696815
Bamidbar_CH34,0.0163537646964782,0.011110643366401909,0.0029172596790974625,0.0042741523716745495
Bamidbar_CH35,0.009708005418088547,0.005141371593745683,0.0029203757924514333,0.004150411859669532
Bamidbar_CH36,0.004293787244977316,0.0032569476216374547,0.002868458413813441,0.003810603144835961
Bamidbar_CH4,0.005830353036354183,0.005447026108671412,0.0030067169260250635,0.004452771635034566
Bamidbar_CH5,0.0035737799121033685,0.003385800626415861,0.0029127151123343933,0.008096525806015385
Bamidbar_CH6,0.004369340453240421,0.003595194072934779,0.0032268283542941545,0.008496381832835895
Bamidbar_CH7,0.0399360078332162,0.04196952903449083,0.0032280821250378405,0.00588065913447017
Bamidbar_CH8,0.0034561047344722016,0.0032828053195234396,0.003390134106756049,0.003844189414924499
Bamidbar_CH9,0.00464591388287708,0.004459743727660926,0.0028894964051462617,0.003874446125506889
Beereshit_CH1,0.011354974048664326,0.01381589219505404,0.002923584882062801,0.004045002573834113
Beereshit_CH10,0.004571476333048435,0.008731406273708569,0.0028885469203358744,0.0038114566375632253
Beereshit_CH11,0.003463656806865647,0.0038926302991754325,0.0028604230112044674,0.0038264643277875965
Beereshit_CH12,0.003466692279100845,0.003257283280870834,0.0028937225986643052,0.0037660270382475275
Beereshit_CH13,0.004178818760040685,0.00325679650891863,0.0028546415784717837,0.0038113887237743453
Beereshit_CH14,0.006465663101947739,0.005047581396437064,0.002903285065864465,0.003872949877787015
Beereshit_CH15,0.0035124866444440884,0.0032570078162797883,0.003680355268027137,0.0038077485767756343
