Names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Bamidbar_CH1,-0.1332680877153437,0.050741722619465635,0.16816016595795108,0.06359608101111475,0.16549235688581765,0.05542738997862806,0.07306701872918714,0.0012832468692414722,0.011326098660728978,0.10398818035055496,0.09494795821094243,0.1822328905909909,0.19921453825375862,0.03560263791029167,0.07435240851735336,0.13428636444290104,-0.019160945404496088,0.07046820656455538,0.16340536505905429,0.17813875918963623,0.13342835352138155,0.1949936607923603,-0.14653223450285102,0.19867083029747373,0.2037455882404166,0.21107881269187612,0.17644788067245504,0.183445553164317,0.0850338555609309,0.18463081112966595,-0.16723748276477846,-0.09076085095073083,0.1506759900220664,0.05898899968111304,0.017997556687848748,0.061139773331269076,0.1940240965733782,0.20289518181723043,0.0723431911957394,0.1977174446519957,-0.10560406339082107,0.2045403967855487,0.06801123861647568,0.10006551679937126,0.05447333860632564,-0.1392305968399279,0.15155984413378204
Bamidbar_CH10,-0.047509609403411646,0.11180321121878867,0.17540598033450838,0.1517059981670429,-0.035401926037324505,0.07613310591943312,0.08737522827541838,0.15253898402506222,0.17436306235204135,0.1247036488696538,0.08745407114685422,0.18423135787373562,0.20178242256438822,0.07221146685426183,0.1436913696788989,0.19447793554255255,-0.12001348792413324,0.029840428565262977,0.13657109637718923,0.1549747878865292,0.10363516577351517,-0.1911991984552831,0.18204140991069073,0.188296684712216,0.15649507366730647,-0.006505860390268126,0.17666000803217624,-0.013833227428858064,0.0886196690155332,0.18218842997125145,0.07950205772155311,0.06067772580339437,0.03556375293195363,0.17478859863170831,0.032115911227403315,0.11925752049960447,0.19471383117537372,0.201455840657483,0.15702720102891288,0.19920674543061212,0.15290316661460135,0.20462861597863385,0.16524895897722175,0.13394265158746432,0.1414112210219159,-0.07748469783767209,0.06870315565548141
Bamidbar_CH11,0.1273706503310591,0.1562052229374573,0.13791468738042356,0.05349087640183281,0.08257279907699522,0.05057533792695407,0.08263908459566777,-0.07353971081518929,0.16975646517587545,0.034710788594170205,0.007774262273451404,0.1283182584217309,0.19687593483081728,0.07558747104322971,0.05478290747007025,0.047562453079237565,0.0360706269348417,0.07852131853907834,0.1351303700453339,0.17022007955941487,0.15396088555332121,-0.12186093867879111,0.20369599741299182,0.1771953949639684,-0.08831733611106729,0.20545187461736303,0.19037394186502893,0.1836792721071121,0.052072492197167364,0.18384651703655192,0.19907145259390469,0.060614752639720104,0.12860443972521984,0.0011733546619710489,0.06876159428047918,0.04827427341032975,0.07639656506931647,0.20095461134896703,-0.3314124285522022,0.19995829412496763,0.13656123340307746,0.19610317709893293,0.16106589140988092,0.07246578355543282,0.016430802716082327,0.015550749666975838,0.184135109579263
Bamidbar_CH13,0.01600914890875882,-0.03085788121473909,0.1768046103505274,0.12258499572812165,0.05187117014200282,0.08651758275603616,0.09628505958211886,0.07363673546851063,-0.0698881578089875,0.08367418140992106,0.08687217617853815,0.19123970359903464,0.16245823414501187,0.07385165776094477,0.07123300825605633,0.00784227840150492,0.018783792402287502,0.09830137609619138,0.1638808438618926,0.1777477197246386,0.14888740988352983,0.04472587895554403,0.20862735121636938,0.18456343814971565,0.20305598827682553,0.1664259050263141,0.1905032193148069,0.12437675966936707,0.08238198102503641,0.17835997867132325,-0.03699509948427826,0.03390232862064535,0.171239713261926,0.0904013040421009,-0.08617436074620377,0.07774907677135501,0.1945221033660851,0.20249420737686036,0.12446885267654989,0.197508747764015,0.1155836884248298,0.20463993851654794,0.15351826220027393,0.09804565341968563,0.0960782256317177,0.018716635830927753,0.1816568251882117
Bamidbar_CH14,0.13214103908860264,-0.002476647922333597,0.15256037425092872,0.09942663106350497,-0.014866029876318132,0.07027581267070954,0.09387985979135588,0.16794627792528916,0.13506096511977145,0.042211308314605345,0.025690812922901984,0.15687933612968696,0.19648540877475423,0.03302382969497841,0.0680358268979997,0.18919817481300805,0.11422370720880681,0.04041984543563926,0.1263772076536102,0.15040028541118705,0.1716025033100017,0.1301750977931722,0.20877406628622175,0.18525873187748038,0.1885588082677666,0.16039348115017388,0.18885115977800365,0.17088391932823527,0.05901651750501108,-0.02856849218323687,0.19944474338176638,0.014200032534082807,0.003895737013026146,0.17458023374143683,0.11950876019971723,0.02687785186652214,0.187654723122048,-0.022951513074362273,0.1514877713109219,0.1881000508853033,0.13171345853652344,0.20458731308343203,0.14751353996348587,-0.01793841423810627,0.046516754551902295,0.10599364380274984,0.1818371671091955
Bamidbar_CH15,0.06077548074877842,0.014733752071253436,0.17553147338581698,0.05488578100546104,0.17849853337231575,0.07679273831128147,0.07135507675719088,0.1511623191828873,0.020486043684018074,0.07008571297414168,0.07540940924342349,0.10992876231566917,0.20020657736338582,0.043560798512774,0.08907578016511447,0.012335967071437692,0.1771497333279451,0.05388431746976857,0.11592188160608319,0.17598492363770124,0.17800789188299548,0.19375511363025882,0.21058211571116392,0.19602166365267176,0.19590447374322262,0.14449109512127267,0.07377016727936347,0.15389038177544084,0.0880452890937421,0.14731301839823857,0.20041375689355923,-0.006534814374280384,0.016338208394144127,-0.017166619954382067,0.088238003396372,0.07541453758825056,0.19305972109442043,0.10559845487324215,0.12113040834070765,0.11829631155247528,-0.06991828076711937,0.20433083528956913,0.14118069450291937,-0.01983530190942495,0.049435598411056936,-0.002444190910525834,0.1826897009157351
Bamidbar_CH16,0.15253581513571718,0.1899040542646388,0.17315836784558353,0.07299126897140634,0.08132331258567682,0.09886730720481479,0.14511839640002389,0.17647649440893165,0.19578332446208835,0.08049303505681715,-0.04940664094005931,0.18926251474821115,0.20127022503605968,0.054847599640323985,0.08931376514949019,0.19508871588393845,0.009352881403433488,0.08310951758214558,0.1700550844874968,0.17976548836328282,0.17643946394757098,0.021673217627734,0.18216406566726562,-0.2666526952391909,0.014890783170479538,0.21069584441089745,0.18732322049081462,0.1850430079794732,0.09630624306392538,0.17655222885531818,0.2024322258002736,0.012672292629382631,0.17850482911869953,0.18498499163524407,0.11922887029878587,0.10729375082170034,0.19453053795590503,0.16919253925933309,0.14161682524542846,0.1950714799599083,0.12631550124075697,0.20438839354437488,0.16490863936189765,0.0868028664326656,-0.014227686539072915,0.06237680821190045,0.1840588386602398
Bamidbar_CH17,0.14040971108175854,0.19112112301668926,0.15248199938149098,0.16164344744868425,0.18674576848550994,0.09152930036687851,0.11088396254336846,0.16911713963065506,0.19586952526659773,0.12295022042268966,0.0867807042232413,-0.056299458651043466,0.20146445574312066,0.07387452809120243,0.14589508378574412,0.19417193844215946,0.12449225516877349,0.10047696522057586,0.16471839919737624,0.1767424383363309,0.1803556922901272,-0.08403165955934477,0.2106195468077377,0.19831706789016634,0.2040002212196012,0.21027948238421817,0.19215262326869653,0.03567416373611165,0.08650807677044631,0.18016002673734843,0.20110644796767851,0.0916053465879143,0.11236640338877563,0.09071160013399732,0.07544030157847448,0.12156879156524714,0.19502285268986042,0.19771565754400072,0.1508081059801772,0.19511171131923322,0.14842943331814845,0.2047297930723576,0.16433047223330832,0.10553163754186884,0.0723171627753641,0.04868312461905311,0.18705052626762825
Bamidbar_CH18,0.15251973953695508,0.17216432429868045,0.10937692433497725,0.06749783043187824,0.0709945255675743,0.04491511987148117,0.06748292060012978,0.17238053101089446,0.1852290071542217,0.023064251382223067,0.030551990420818353,0.18856882199045455,0.17918686169541354,0.08908978415736502,0.06722377954596831,0.017077248210758733,0.13117636215324519,0.03873259897924575,0.16197422745441475,0.1810626539014039,0.17618717043488374,0.19318430157983074,0.21031578705809245,0.19718906564896826,0.1812444535046634,0.21069076433957568,0.13307810946484827,0.04028089324440215,-0.026024954704522707,0.17484385384844453,0.19377116850436055,0.0855512977408579,0.16858405331728404,0.06421385809129393,0.05630189227029769,0.05609264397314495,0.19035647551309742,0.20267782239452042,0.16000541690443637,0.19803846105079587,0.11047871500672701,0.2046568521228181,0.1578189004387051,0.060401113873151724,0.10477926971311635,0.07251353212888739,0.1838311014581423
Bamidbar_CH19,-0.0014872208089494743,-0.05857251576114564,0.1686658600876857,0.0628876899817033,0.18630552175001192,0.0932380581887075,0.058130240927752874,-0.08003905658349542,0.09160323183387414,0.07949542131445925,0.041002281426075426,0.18753216563906516,-0.10903635130542322,0.08191491923747868,0.06190760393556155,-0.004296147638784609,0.18140695411741015,0.07371224484768663,0.15821797306754587,0.17389482743480866,0.17245142743621344,0.1958303780044442,0.21001180647916268,0.19963878034284893,0.2040021994633266,0.21013041946904493,0.1898078950770723,0.024221158838862222,0.09844975327389521,0.10153433461575201,-0.09189100808526818,0.023355839465399653,0.06046853107498118,-0.02642525041055177,0.13916641381072192,0.07705378589871242,0.18961169141229695,0.20214007983677812,0.16144344039107872,0.13361990850459055,-0.03665362708838804,0.20473558254335827,0.13893396512405093,0.13394265158746432,0.1414716326703146,-0.0009342153770032224,-0.09993471453693725
Bamidbar_CH2,-0.08375977752682351,0.0424913837537399,0.1685767238366389,0.1059952149218622,-0.09283036738024586,0.07437161083907218,0.09397850492485094,0.1183615082443702,0.12112834760571972,0.1065571527046168,0.09403130522896885,0.18926665755855776,0.20126478116357588,-0.02576299730739451,0.14612537616961335,0.1946841683949806,-0.027625427829251592,-0.012755482033680154,0.10721626023426267,0.15382245938740785,0.07592180981088059,0.1920675793449393,0.17912824179781017,0.1861862187484693,0.1996959731347,0.20637839101671024,0.17243898581980294,0.1856601345718361,0.1181827347284522,0.18245951312966735,-0.17702215613357808,0.001874136082729294,0.15500732256922667,-0.010968266347535338,-0.026370922334907676,0.12484485145180346,0.1949731313750937,0.1437886857746732,0.15041170459831538,0.19794320796791237,0.12425701208865308,0.20435850077283968,0.10198847136034173,0.1339061726878769,0.12379912154140382,-0.19303482585025078,0.035522385839536985
Bamidbar_CH20,0.1542069362491626,0.18462570265059797,0.1339563134757623,0.07138616274643861,0.06742523669069417,0.09488871907887675,0.08481346186192273,0.178035478581905,0.19606220928800644,0.1268171075892316,0.058446862961446744,-0.22797396187435603,0.20120000046834496,0.06163961933304257,0.1309420910306383,0.19479174184925463,-0.01181558509855507,0.0973158750585763,0.14466325170246302,0.15083355716531405,0.16673022630221962,0.193863839638671,0.21073384547708185,0.19789782790230587,0.18007030296103016,0.21111265422775538,0.19306183624813017,0.05019087390365795,0.10416114030721146,0.1847796309073544,0.2028879507124764,0.11258976320464964,0.17118172583609803,0.1853682873299508,0.13292325639703978,0.11818927721260264,0.07390673097642925,0.00909010378052627,0.1307944809864311,0.19900940384512278,0.16381295558086384,0.2013167224507153,0.16011770612758347,0.09451678310590539,0.05314013332589074,0.039236975845116984,0.18244831259817718
